trapped.pig.uniq.id,uniq.group,trial,group.trapped.pig.order,pot.helper.uniq.id,pot.helper.response,related,pot.helper.helped.by.trapped.before,trapped.before,trapped.pig.helped.others.before,pothelper.sex,test.dur.look.s.per.min,pretrial.rate.curio.min,pretrial.open.yn,train.rate.curio.min,train.rate.open,lat.helped.min,test.dur.look.window,test.count.look.window,test.curios.score,pretrial.curio.yn,trapped.pig.sow,trapped.pig.sex,test.count.look.per.testmin,test.rate.curio.min,pretrial.rate.open.min,pothelper.mom
DG2_W_9,DG2_W,DG2_W9_080920,3,DG2_W_5,0,No,No,No,y,Male,57.11304348,0,No,0.266666667,0.125,0.2875,16.42,1,0,0,5764,w,3.47826087,0,0,5931
DG2_W_9,DG2_W,DG2_W9_080920,3,DG2_W_8,1,Yes,No,No,y,Female,49.53043478,0,No,0.175,0.041666667,0.2875,14.24,2,0,0,5764,w,6.956521739,0,0,5764
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_1,0,No,No,Yes,n,Male,0,0,No,0.183333334,0.033333333,NA,NA,NA,NA,0,5931,m,0,0,0,6142
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_2,0,No,No,No,n,Female,8.667239899,0.16882386,No,0.316666667,0.091666667,1.356833333,11.76,2,0,1,5931,m,1.474020391,0,0,6142
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_3,0,No,No,No,n,Female,0,0,Yes,0.216666667,0.033333333,1.356833333,0,0,0,0,5931,m,0,0,0.050179278,6142
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_4,0,Yes,No,Yes,n,Male,6.338287681,0,No,0.291666667,0.175,1.356833333,8.6,1,0,0,5931,m,0.737010195,0,0,5931
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_8,1,No,No,No,n,Female,26.35548459,0,No,0.175,0.041666667,1.356833333,35.76,4,0,0,5931,m,2.948040782,0,0,5764
DG2_W_5,DG2_W,DG2_W5_080920,4,DG2_W_9,0,No,No,Yes,n,Female,0,0,No,0.308333334,0.083333333,NA,NA,NA,NA,0,5931,m,0,0,0,5764
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_1,0,Yes,No,Yes,n,Male,34.06819979,0.206128899,No,0.183333334,0.033333333,0.210166667,7.16,1,0,1,6142,w,4.758128462,0,0,6142
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_3,0,Yes,No,No,n,Female,0,0.412257799,No,0.216666667,0.033333333,0.210166667,0,0,0,1,6142,w,0,0,0,6142
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_4,0,No,No,Yes,n,Male,0,0.309193349,Yes,0.291666667,0.175,0.210166667,0,0,0,1,6142,w,0,0,0.017177408,5931
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_5,0,No,No,Yes,n,Male,0,0,No,0.266666667,0.125,NA,NA,NA,NA,0,6142,w,0,0,0,5931
DG2_W_2,DG2_W,DG2_W2_090920,5,DG2_W_8,0,No,No,No,n,Female,33.49722437,0.206128899,No,0.175,0.041666667,0.210166667,7.04,1,0,1,6142,w,4.758128462,0,0,5764
