trapped.pig.unique.id,context,cort,dur.trapped.min,distress.num,distress.rate,invest.sq.z,dur.separated,sample.time.hr,unique.group,sex,trapped.date,test.day,daily.test.order.within.group,outcome
DG3_W_8,post,3.645,2.398833333,3,1.250607935,1.114390623,5.724,10.63333333,DG3_W,m,22.10.20,4,2,Helped
DG3_W_8,pre,3.067,2.398833333,3,1.250607935,1.114390623,5.724,8.416666667,DG3_W,m,22.10.20,4,2,Helped
DG3_W_3,post,9.781,0.566833333,0,0,0.412651001,8.259333333,12.96666667,DG3_W,w,23.10.20,5,1,Helped
DG3_W_3,pre,4.307,0.566833333,0,0,0.412651001,8.259333333,10.66666667,DG3_W,w,23.10.20,5,1,Helped
DG3_W_6,post,3.648,3.0355,2,0.658870038,0.074344379,5.736,13.63333333,DG3_W,m,23.10.20,5,2,Helped
DG3_W_6,pre,2.569,3.0355,2,0.658870038,0.074344379,5.736,10.66666667,DG3_W,m,23.10.20,5,2,Helped
DG4_F_3,post,4.979,1.852,2,1.079913607,1.367175361,8,13.01666667,DG4_F,m,30.11.20,1,1,Helped
DG4_F_3,pre,3.628,1.852,2,1.079913607,1.367175361,8,11.91666667,DG4_F,m,30.11.20,1,1,Helped
DG4_F_9,post,3.377,20,0,0,-1.666516329,5.795333333,14.11666667,DG4_F,w,30.11.20,1,2,Not helped
DG4_F_9,pre,6.626,20,0,0,-1.666516329,5.795333333,11.95,DG4_F,w,30.11.20,1,2,Not helped
DG4_F_4,post,6.461,6.22,3,0.482315113,-0.335914206,5.836666667,9.4,DG4_F,w,01.12.20,2,1,Helped
DG4_F_4,pre,3.89,6.22,3,0.482315113,-0.335914206,5.836666667,8.5,DG4_F,w,01.12.20,2,1,Helped
DG4_F_7,post,5.892,1.641333333,1,0.609260764,0.358356922,5.798666667,14.08333333,DG4_F,m,02.12.20,3,1,Helped
DG4_F_7,pre,4.208,1.641333333,1,0.609260764,0.358356922,5.798666667,11.71666667,DG4_F,m,02.12.20,3,1,Helped
DG4_F_8,post,6.696,20,11,0.55,-1.344755405,5.738666667,15.08333333,DG4_F,w,02.12.20,3,2,Not helped
DG4_F_8,pre,6.159,20,11,0.55,-1.344755405,5.738666667,11.71666667,DG4_F,w,02.12.20,3,2,Not helped
DG4_F_5,post,10.612,4.809333333,12,2.495148323,0.043748606,5.77,10,DG4_F,w,03.12.20,4,1,Helped
DG4_F_5,pre,2.242,4.809333333,12,2.495148323,0.043748606,5.77,8.25,DG4_F,w,03.12.20,4,1,Helped
DG4_F_1,post,5.316,2.318666667,1,0.431282346,0.727188516,5.776,10.83333333,DG4_F,m,03.12.20,4,2,Helped
DG4_F_1,pre,2.807,2.318666667,1,0.431282346,0.727188516,5.776,8.25,DG4_F,m,03.12.20,4,2,Helped
DG4_F_10,post,9.883,3.100666667,15,4.837669318,0.051204438,5.994,13.38333333,DG4_F,w,04.12.21,5,1,Helped
DG4_F_10,pre,6.598,3.100666667,15,4.837669318,0.051204438,5.994,11.58333333,DG4_F,w,04.12.21,5,1,Helped
DG4_F_2,post,7.031,2.263333333,3,1.325478645,-0.01590272,5.588666667,14.25,DG4_F,m,04.12.20,5,2,Helped
DG4_F_2,pre,5.721,2.263333333,3,1.325478645,-0.01590272,5.588666667,11.58333333,DG4_F,m,04.12.20,5,2,Helped
DG4_W_10,post,13.132,2.146666667,4,1.863354037,0.696816621,6.223333333,10.11666667,DG4_W,w,30.11.20,1,1,Helped
