trapped.pig.uniq.id,pot.helper.uniq.id,trial,uniq.group,Test_subj.opens.testbox,Test_subj.opens.emptybox.to20,Sep_numtimes.open.testbox,Sep_numtimes.open.emptybox,Sep_rate.open.testbox_permin,Sep_rate.open.emptybox_permin,Sep.open.any.yn,related,trapped.before,pothelper.sex,train.rate.curio.min,train.rate.open.anybox,dur.look.testwindow.s,rate.look.testwindow.s.per.min,prop.look.test.window,lat.helped.min,dur.look.emptywindow.s,rate.look.emptywindow.s.per.min,prop.look.emptywindow,trapped.pig.sow,trapped.pig.sex,pothelper.mom,location.test.box,date,daily.test.order.bothgroups,daily.test.order.within.group,group.test.order,test.day,Sep_rate.open.anybox
DG2_F_9,DG2_F_5,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.433333334,0.016666667,0,0,0,3.872166667,0,0,0,5952,w,6235,FG,09.09.20,3.1,1,5,3,0
DG2_F_9,DG2_F_6,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.383333334,0.008333334,14.12,3.646537253,0.060775621,3.872166667,0,0,0,5952,w,6235,FG,09.09.20,3.1,1,5,3,0
DG2_F_9,DG2_F_7,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,y,y,Male,0.441666667,0.066666667,15.2,3.925450867,0.065424181,3.872166667,0,0,0,5952,w,5952,FG,09.09.20,3.1,1,5,3,0
DG2_F_9,DG2_F_8,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,y,n,Male,0.516666667,0,131.2,33.88283906,0.564713984,3.872166667,0,0,0,5952,w,5952,FG,09.09.20,3.1,1,5,3,0
DG2_W_1,DG2_W_2,DG2_W1_070920,DG2_W,0,0,0,0,0,0,0,y,n,Female,0.316666667,0.091666667,14.72,2.844169645,0.047402827,5.1755,38.84,7.504588929,0.125076482,6142,m,6142,ZG,07.09.20,1.3,1,1,1,0
DG2_W_1,DG2_W_3,DG2_W1_070920,DG2_W,0,1,0,0,0,0,0,y,n,Female,0.216666667,0.033333333,30.24,5.842913728,0.097381895,5.1755,27.36,5.286445754,0.088107429,6142,m,6142,ZG,07.09.20,1.3,1,1,1,0
DG2_W_1,DG2_W_4,DG2_W1_070920,DG2_W,0,0,0,0,0,0,0,n,n,Male,0.291666667,0.175,0,0,0,5.1755,0,0,0,6142,m,5931,ZG,07.09.20,1.3,1,1,1,0
DG2_W_1,DG2_W_5,DG2_W1_070920,DG2_W,0,0,0,0,0,0,0,n,n,Male,0.266666667,0.125,67.6,13.06153995,0.217692332,5.1755,0,0,0,6142,m,5931,ZG,07.09.20,1.3,1,1,1,0
DG2_W_1,DG2_W_8,DG2_W1_070920,DG2_W,1,0,0,0,0,0,0,n,n,Female,0.175,0.041666667,105.08,20.30335233,0.338389206,5.1755,5.68,1.097478504,0.018291308,6142,m,5764,ZG,07.09.20,1.3,1,1,1,0
DG2_W_1,DG2_W_9,DG2_W1_070920,DG2_W,0,0,2,2,0.175695461,0.175695461,1,n,n,Female,0.308333334,0.083333333,3.4,0.656941358,0.010949023,5.1755,0,0,0,6142,m,5764,ZG,07.09.20,1.3,1,1,1,0.351390922
