trapped.pig.unique.id,id.group,sex,location,helper,condition,compartment,opened.comp,date,daily.test.order.within.group,group.test.order,test.day
DG3_W_10,DG3_W,f,Side,Pig,separation,testbox,0,22.10.20,1,7,4
DG3_W_2,DG3_W,m,Side,Pig,separation,emptybox,1,19.10.20,1,1,1
DG3_W_2,DG3_W,m,Front,Pig,separation,testbox,1,19.10.20,1,1,1
DG3_W_2,DG3_W,m,Front,Pig,test,testbox,1,19.10.20,1,1,1
DG3_W_2,DG3_W,m,Side,Pig,test,emptybox,1,19.10.20,1,1,1
DG3_W_3,DG3_W,f,Side,Pig,test,testbox,1,23.10.20,1,9,5
DG3_W_3,DG3_W,f,Front,Pig,separation,emptybox,1,23.10.20,1,9,5
DG3_W_3,DG3_W,f,Side,Pig,separation,testbox,1,23.10.20,1,9,5
DG3_W_3,DG3_W,f,Front,Pig,test,emptybox,0,23.10.20,1,9,5
DG3_W_4,DG3_W,f,Side,Pig,test,testbox,1,20.10.20,1,3,2
DG3_W_4,DG3_W,f,Side,Pig,separation,testbox,0,20.10.20,1,3,2
DG3_W_4,DG3_W,f,Front,Pig,separation,emptybox,0,20.10.20,1,3,2
DG3_W_4,DG3_W,f,Front,Pig,test,emptybox,0,20.10.20,1,3,2
DG3_W_5,DG3_W,f,Side,Pig,separation,testbox,0,21.10.20,2,6,3
DG3_W_5,DG3_W,f,Front,Pig,test,emptybox,1,21.10.20,2,6,3
DG3_W_5,DG3_W,f,Side,Pig,test,testbox,1,21.10.20,2,6,3
DG3_W_5,DG3_W,f,Front,Pig,separation,emptybox,0,21.10.20,2,6,3
DG3_W_6,DG3_W,m,Front,Pig,separation,testbox,0,23.10.20,2,10,5
DG3_W_6,DG3_W,m,Front,Pig,test,testbox,1,23.10.20,2,10,5
DG3_W_6,DG3_W,m,Side,Pig,test,emptybox,0,23.10.20,2,10,5
DG3_W_6,DG3_W,m,Side,Pig,separation,emptybox,0,23.10.20,2,10,5
DG3_W_7,DG3_W,m,Side,Pig,test,testbox,1,19.10.20,2,2,1
DG3_W_7,DG3_W,m,Front,Pig,separation,emptybox,0,19.10.20,2,2,1
DG3_W_7,DG3_W,m,Side,Pig,separation,testbox,0,19.10.20,2,2,1
DG3_W_7,DG3_W,m,Front,Pig,test,emptybox,1,19.10.20,2,2,1
DG3_W_8,DG3_W,m,Side,Pig,test,emptybox,1,22.10.20,2,8,4
DG3_W_8,DG3_W,m,Front,Pig,test,testbox,1,22.10.20,2,8,4
DG3_W_8,DG3_W,m,Side,Pig,separation,emptybox,1,22.10.20,2,8,4
DG3_W_8,DG3_W,m,Front,Pig,separation,testbox,0,22.10.20,2,8,4
DG3_W_9,DG3_W,f,Side,Pig,separation,emptybox,1,21.10.20,1,5,3
DG3_W_9,DG3_W,f,Front,Pig,separation,testbox,0,21.10.20,1,5,3
DG3_W_9,DG3_W,f,Front,Pig,test,testbox,1,21.10.20,1,5,3
DG3_W_9,DG3_W,f,Side,Pig,test,emptybox,1,21.10.20,1,5,3
DG4_F_1,DG4_F,m,Side,Pig,separation,testbox,0,03.12.20,2,8,4
DG4_F_1,DG4_F,m,Side,Pig,test,testbox,1,03.12.20,2,8,4
DG4_F_1,DG4_F,m,Front,Pig,test,emptybox,1,03.12.20,2,8,4
DG4_F_1,DG4_F,m,Front,Pig,separation,emptybox,0,03.12.20,2,8,4
DG4_F_10,DG4_F,f,Side,Pig,test,testbox,1,04.12.20,1,9,5
DG4_F_10,DG4_F,f,Side,Pig,separation,testbox,0,04.12.20,1,9,5
DG4_F_10,DG4_F,f,Front,Pig,separation,emptybox,1,04.12.20,1,9,5
DG4_F_10,DG4_F,f,Front,Pig,test,emptybox,1,04.12.20,1,9,5
DG4_F_2,DG4_F,m,Front,Pig,test,testbox,1,04.12.20,2,10,5
DG4_F_2,DG4_F,m,Side,Pig,separation,emptybox,0,04.12.20,2,10,5
DG4_F_2,DG4_F,m,Front,Pig,separation,testbox,0,04.12.20,2,10,5
DG4_F_2,DG4_F,m,Side,Pig,test,emptybox,0,04.12.20,2,10,5
DG4_F_3,DG4_F,m,Side,Pig,separation,testbox,0,30.11.20,1,1,1
DG4_F_3,DG4_F,m,Front,Pig,test,emptybox,0,30.11.20,1,1,1
DG4_F_3,DG4_F,m,Side,Pig,test,testbox,1,30.11.20,1,1,1
DG4_F_3,DG4_F,m,Front,Pig,separation,emptybox,1,30.11.20,1,1,1
DG4_F_4,DG4_F,f,Front,Pig,separation,testbox,1,01.12.20,1,3,2
DG4_F_4,DG4_F,f,Front,Pig,test,testbox,1,01.12.20,1,3,2
DG4_F_4,DG4_F,f,Side,Pig,test,emptybox,0,01.12.20,1,3,2
DG4_F_4,DG4_F,f,Side,Pig,separation,emptybox,0,01.12.20,1,3,2
DG4_F_5,DG4_F,f,Front,Pig,test,testbox,1,03.12.20,1,7,4
DG4_F_5,DG4_F,f,Front,Pig,separation,testbox,0,03.12.20,1,7,4
DG4_F_5,DG4_F,f,Side,Pig,separation,emptybox,0,03.12.20,1,7,4
DG4_F_5,DG4_F,f,Side,Pig,test,emptybox,0,03.12.20,1,7,4
DG4_F_6,DG4_F,m,Side,Pig,separation,testbox,0,01.12.20,2,4,2
DG4_F_6,DG4_F,m,Front,Pig,separation,emptybox,1,01.12.20,2,4,2
DG4_F_6,DG4_F,m,Front,Pig,test,emptybox,0,01.12.20,2,4,2
DG4_F_6,DG4_F,m,Side,Pig,test,testbox,1,01.12.20,2,4,2
DG4_F_7,DG4_F,m,Front,Pig,test,emptybox,1,02.12.20,1,5,3
DG4_F_7,DG4_F,m,Side,Pig,test,testbox,1,02.12.20,1,5,3
DG4_F_7,DG4_F,m,Front,Pig,separation,emptybox,0,02.12.20,1,5,3
DG4_F_7,DG4_F,m,Side,Pig,separation,testbox,0,02.12.20,1,5,3
