id.group,id.trapped.pig,sow,sex,trapped.order,location.test.box,helper,outcome,lat.helped.min
DG3_W,DG3_W_8,6073,Male,8,Front,Pig,Full_trial,2.4
DG3_W,DG3_W_3,6079,Female,9,Side,Pig,Full_trial,0.57
DG3_W,DG3_W_6,6073,Male,10,Front,Pig,Full_trial,3.04
DG4_F,DG4_F_3,6099,Male,1,Side,Pig,Full_trial,1.85
DG4_F,DG4_F_9,6188,Female,2,Front,Human,Full_trial,20
DG4_F,DG4_F_4,6099,Female,3,Front,Pig,Full_trial,6.22
DG4_F,DG4_F_6,NA,,4,Side,Pig,Full_trial,14.77
DG4_F,DG4_F_7,6188,Male,5,Side,Pig,Full_trial,1.64
DG4_F,DG4_F_8,6188,Female,6,Front,Human,Full_trial,20
DG4_F,DG4_F_5,6099,Female,7,Front,Pig,Full_trial,4.81
DG4_F,DG4_F_1,6099,Male,8,Side,Pig,Full_trial,2.32
DG4_F,DG4_F_10,6188,Female,9,Side,Pig,Full_trial,3.1
DG4_F,DG4_F_2,6099,Male,10,Front,Pig,Full_trial,2.26
DG4_W,DG4_W_10,6310,Female,1,Side,Pig,Full_trial,2.15
DG4_W,DG4_W_6,6310,Male,2,Front,Pig,Full_trial,2.85
DG4_W,DG4_W_5,6197,Female,3,Front,Pig,Full_trial,11.45
DG4_W,DG4_W_9,6310,Female,4,Side,Pig,Full_trial,1.98
DG4_W,DG4_W_4,6197,Female,5,Side,Pig,Full_trial,3.98
DG4_W,DG4_W_1,6197,Male,6,Front,Pig,Full_trial,7.59
DG4_W,DG4_W_7,6310,Male,7,Front,Pig,Full_trial,0.85
DG4_W,DG4_W_2,6197,Male,8,Side,Pig,Full_trial,2.12
DG4_W,DG4_W_3,6197,Male,9,Side,Pig,Full_trial,2.44
DG4_W,DG4_W_8,6310,Female,10,Front,Pig,Full_trial,16.97
DG5_F,DG5_F_8,6407,Male,1,Side,Pig,Full_trial,4.61
DG5_F,DG5_F_10,6407,Female,2,Front,Pig,Full_trial,6.76
DG5_F,DG5_F_3,6421,Female,3,Front,Pig,Full_trial,1.74
DG5_F,DG5_F_4,6421,Female,4,Side,Pig,Full_trial,4.88
DG5_F,DG5_F_1,6421,Male,5,Front,Human,Full_trial,20
DG5_F,DG5_F_2,6421,Male,6,Side,Pig,Full_trial,2.77
DG5_F,DG5_F_9,6407,Female,7,Side,Pig,Full_trial,6.42
DG5_F,DG5_F_5,6421,Female,8,Front,Pig,Full_trial,2.4
DG5_F,DG5_F_7,6407,Male,9,Front,Pig,Full_trial,0.63
DG5_F,DG5_F_6,6407,Male,10,Side,Human,Full_trial,20
DG5_W,DG5_W_3,6420,Female,1,Front,Pig,Full_trial,11.27
DG5_W,DG5_W_8,6235,Male,2,Side,Pig,Full_trial,0.28
DG5_W,DG5_W_6,6235,Male,3,Side,Pig,Full_trial,0.72
DG5_W,DG5_W_4,6420,Female,4,Front,Pig,Full_trial,1.29
DG5_W,DG5_W_7,6235,Male,5,Front,Pig,Full_trial,1.71
DG5_W,DG5_W_2,6420,Male,6,Side,Pig,Full_trial,5.18
DG5_W,DG5_W_10,6235,Female,7,Side,Pig,Full_trial,0.16
DG5_W,DG5_W_9,6235,Female,8,Front,Pig,Full_trial,2.77
DG5_W,DG5_W_1,6420,Male,9,Front,Pig,Full_trial,0.36
DG5_W,DG5_W_5,6420,Female,10,Side,Pig,Full_trial,1.78
