trapped.pig.uniq.id,sow,sex,group.trapped.pig.order,location.test.box,interval_count,interval.dur,number.of.intervals,min.status,screams,screams.prop,escapes,invest.door,invest.door.prop,invest.window,invest.window.prop,outcome1,outcome2,outcome3,lat.helped.min,trapped.date,uniq.group,time.trial.begins,change.cort,time.post.sample,interval_time,ordinal.group.order,distress,distress.rate.per.min,window.rate.per.min
DG2_W_1,6142,Male,1,Side,6,9.8,6,free,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,583.880-593.680,1,0,0,0
DG3_F_8,6369,Male,7,Side,1,60,6,trapped,0,0,2,4,0.066666667,9,0.15,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,131.160-191.160,7,2,2,9
DG3_F_8,6369,Male,7,Side,2,60,6,trapped,5,0.083333333,1,2,0.033333333,3,0.05,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,191.160-251.160,7,6,6,3
DG3_F_8,6369,Male,7,Side,3,60,6,trapped,5,0.083333333,0,1,0.016666667,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,251.160-311.160,7,5,5,4
DG3_F_8,6369,Male,7,Side,4,60,6,trapped,3,0.05,1,1,0.016666667,0,0,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,311.160-371.160,7,4,4,0
DG3_F_8,6369,Male,7,Side,5,60,6,trapped,1,0.016666667,2,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,371.160-431.160,7,3,3,1
DG3_F_8,6369,Male,7,Side,6,1.6,6,free,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,5.026833333,2020-10-22,DG3_F,14.15,4.69,14.5,431.160-432.760,7,0,0,0
DG5_W_2,6420,Male,6,Side,1,60,6,trapped,0,0,1,2,0.033333333,7,0.116666667,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,42.960-102.960,6,1,1,7
DG5_W_2,6420,Male,6,Side,2,60,6,trapped,0,0,0,1,0.016666667,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,102.960-162.960,6,0,0,1
DG5_W_2,6420,Male,6,Side,3,60,6,trapped,0,0,0,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,162.960-222.960,6,0,0,2
DG5_W_2,6420,Male,6,Side,4,60,6,trapped,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,222.960-282.960,6,0,0,0
DG5_W_2,6420,Male,6,Side,5,60,6,trapped,0,0,0,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,282.960-342.960,6,0,0,1
DG5_W_2,6420,Male,6,Side,6,9.16,6,free,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,5.184,2021-02-03,DG5_W,14.9,-4.049,15.26666667,342.960-352.120,6,0,0,0
DG4_F_4,6099,Female,3,Front,1,60,7,trapped,0,0,1,6,0.1,12,0.2,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,58.200-118.200,3,1,1,12
DG4_F_4,6099,Female,3,Front,2,60,7,trapped,0,0,2,1,0.016666667,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,118.200-178.200,3,2,2,5
DG4_F_4,6099,Female,3,Front,3,60,7,trapped,0,0,0,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,178.200-238.200,3,0,0,2
DG4_F_4,6099,Female,3,Front,4,60,7,trapped,0,0,0,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,238.200-298.200,3,0,0,1
DG4_F_4,6099,Female,3,Front,5,60,7,trapped,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,298.200-358.200,3,0,0,0
DG4_F_4,6099,Female,3,Front,6,60,7,trapped,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,358.200-418.200,3,0,0,0
DG4_F_4,6099,Female,3,Front,7,9.52,7,free,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,6.22,2020-12-01,DG4_F,8.983333333,2.571,9.4,418.200-427.720,3,0,0,0
DG5_F_10,6407,Female,2,Front,1,60,7,trapped,0,0,2,5,0.083333333,8,0.133333333,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,40.680-100.680,2,2,2,8
DG5_F_10,6407,Female,2,Front,2,60,7,trapped,0,0,0,2,0.033333333,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,100.680-160.680,2,0,0,4
DG5_F_10,6407,Female,2,Front,3,60,7,trapped,0,0,0,2,0.033333333,3,0.05,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,160.680-220.680,2,0,0,3
DG5_F_10,6407,Female,2,Front,4,60,7,trapped,0,0,0,2,0.033333333,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,220.680-280.680,2,0,0,2
DG5_F_10,6407,Female,2,Front,5,60,7,trapped,0,0,0,1,0.016666667,3,0.05,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,280.680-340.680,2,0,0,3
DG5_F_10,6407,Female,2,Front,6,60,7,trapped,0,0,0,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,340.680-400.680,2,0,0,2
DG5_F_10,6407,Female,2,Front,7,45.52,7,free,0,0,0,1,0.021968366,1,0.021968366,Helped,Trapped_over_3_mns,Full_trial,6.76,2021-02-01,DG5_F,10.66666667,1.532,11.16666667,400.680-446.200,2,0,0,1.3181019332161685
DG5_F_9,6407,Female,7,Side,1,60,7,trapped,1,0.016666667,1,2,0.033333333,6,0.1,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,40.480-100.480,7,2,2,6
DG5_F_9,6407,Female,7,Side,2,60,7,trapped,2,0.033333333,1,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,100.480-160.480,7,3,3,2
DG5_F_9,6407,Female,7,Side,3,60,7,trapped,0,0,0,1,0.016666667,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,160.480-220.480,7,0,0,1
DG5_F_9,6407,Female,7,Side,4,60,7,trapped,4,0.066666667,1,0,0,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,220.480-280.480,7,5,5,4
DG5_F_9,6407,Female,7,Side,5,60,7,trapped,3,0.05,1,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,280.480-340.480,7,4,4,1
DG5_F_9,6407,Female,7,Side,6,60,7,trapped,1,0.016666667,1,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,340.480-400.480,7,2,2,1
DG5_F_9,6407,Female,7,Side,7,23.24,7,free,1,0.04302926,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,6.420666667,2021-02-04,DG5_F,11.53333333,4.197,11.75,400.480-423.720,7,1,2.581755593803787,0
DG4_W_1,6197,Male,6,Front,1,60,8,trapped,0,0,0,5,0.083333333,12,0.2,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,40.840-100.840,6,0,0,12
DG4_W_1,6197,Male,6,Front,2,60,8,trapped,0,0,0,5,0.083333333,7,0.116666667,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,100.840-160.840,6,0,0,7
DG4_W_1,6197,Male,6,Front,3,60,8,trapped,3,0.05,0,1,0.016666667,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,160.840-220.840,6,3,3,4
DG4_W_1,6197,Male,6,Front,4,60,8,trapped,0,0,0,2,0.033333333,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,220.840-280.840,6,0,0,4
DG4_W_1,6197,Male,6,Front,5,60,8,trapped,3,0.05,3,0,0,3,0.05,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,280.840-340.840,6,6,6,3
DG4_W_1,6197,Male,6,Front,6,60,8,trapped,0,0,2,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,340.840-400.840,6,2,2,2
DG4_W_1,6197,Male,6,Front,7,60,8,trapped,0,0,0,1,0.016666667,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,400.840-460.840,6,0,0,1
DG4_W_1,6197,Male,6,Front,8,31.24,8,free,0,0,0,0,0,1,0.032010243,Helped,Trapped_over_3_mns,Full_trial,7.586,2020-12-02,DG4_W,10.98333333,-0.531,11.41666667,460.840-492.080,6,0,0,1.920614596670935
DG3_F_9,6369,Female,1,Front,1,60,11,trapped,0,0,0,2,0.033333333,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,37.120-97.120,1,0,0,5
DG3_F_9,6369,Female,1,Front,2,60,11,trapped,0,0,1,1,0.016666667,3,0.05,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,97.120-157.120,1,1,1,3
DG3_F_9,6369,Female,1,Front,3,60,11,trapped,0,0,2,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,157.120-217.120,1,2,2,2
DG3_F_9,6369,Female,1,Front,4,60,11,trapped,0,0,2,2,0.033333333,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,217.120-277.120,1,2,2,1
DG3_F_9,6369,Female,1,Front,5,60,11,trapped,0,0,2,0,0,1,0.016666667,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,277.120-337.120,1,2,2,1
DG3_F_9,6369,Female,1,Front,6,60,11,trapped,0,0,2,0,0,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,337.120-397.120,1,2,2,4
DG3_F_9,6369,Female,1,Front,7,60,11,trapped,0,0,1,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,397.120-457.120,1,1,1,2
DG3_F_9,6369,Female,1,Front,8,60,11,trapped,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,457.120-517.120,1,0,0,0
DG3_F_9,6369,Female,1,Front,9,60,11,trapped,0,0,1,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,517.120-577.120,1,1,1,2
DG3_F_9,6369,Female,1,Front,10,60,11,trapped,0,0,2,2,0.033333333,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,577.120-637.120,1,2,2,4
DG3_F_9,6369,Female,1,Front,11,11.64,11,free,0,0,1,1,0.085910653,0,0,Helped,Trapped_over_3_mns,Full_trial,10.24616667,2020-10-19,DG3_F,10.03333333,5.597,10.58333333,637.120-648.760,1,1,5.154639175257731,0
DG2_F_2,6232,Female,3,Front,1,60,12,trapped,0,0,0,3,0.05,7,0.116666667,Helped,Trapped_over_3_mns,Full_trial,11.55,2020-09-08,DG2_F,12.47,NA,NA,34.400-94.400,3,0,0,7
DG2_F_2,6232,Female,3,Front,2,60,12,trapped,0,0,0,2,0.033333333,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,11.55,2020-09-08,DG2_F,12.47,NA,NA,94.400-154.400,3,0,0,5
